store,county,area,address,lat,lng
aldi,Carlow,Bagenalstown,"Bolgers Yard, The Parade, Bagenalstown, Carlow, R21 K772",52.702812,-6.9558977
aldi,Carlow,Carlow,"Hanover Road, Carlow, Carlow, R93 YX52",52.83272789999999,-6.926390199999999
aldi,Carlow,Graiguecullen,"Church Street, Graiguecullen, Carlow, R93 KV63",52.8391743,-6.9436053
aldi,Carlow,Tullow,"Dublin Road, Tullow, Carlow, R93 K727",52.8072142,-6.7305213
aldi,Cavan,Cavan,"Dublin Road, Cavan, Cavan, H12 PK29",53.9844962,-7.350548700000001
aldi,Clare,Ennis,"Francis Street, Ennis, Clare, V95 YH74",52.84660539999999,-8.976220399999999
aldi,Clare,Ennistymon,"Circular Road, Ennistymon, Clare, V95 A337",52.939995,-9.2909168
aldi,Clare,Killaloe,"Abbey Street, Killaloe, Clare, V94 225X",52.8043264,-8.4417087
aldi,Clare,Kilrush,"Ennis Road, Kilrush, Clare, V15 RF44",52.6402653,-9.481411699999999
aldi,Cork,Ballincollig,"Main Street, Ballincollig, Cork, P31 N266",51.888034,-8.5879216
aldi,Cork,Ballincollig,"Westside Retail Park, Ballincollig, Cork, P31 KX45",51.888026,-8.594904099999999
aldi,Cork,Bandon,"Station Road, Bandon, Cork, P72 HD79",51.7459526,-8.730172999999999
aldi,Cork,Blackrock,"Skehard Road, Blackrock, Cork, T12 PT02",51.89184789999999,-8.4110576
aldi,Cork,Carrigaline,"Love Site, Main Street, Carrigaline, Cork, P43 DK72",51.8129635,-8.3924452
aldi,Cork,Carrigtwohill,"Castle Square, Carrigtwohill, Cork, T45 PN36",51.9091357,-8.2711524
aldi,Cork,Charleville,"Main Street, Charleville, Cork, P56 T681",52.3525321,-8.6794545
aldi,Cork,Clonakilty,"The Waterfront, Clonakilty, Cork, P85 K735",51.6214727,-8.8863205
aldi,Cork,Cobh,"Ticknock, Cobh, Cork, P24 PH02",51.8530415,-8.295090499999999
aldi,Cork,Cork,"Bishopstown Road, Wilton, Cork, Cork, T12 X659",51.8797218,-8.5166967
aldi,Cork,Cork,"Blackpool Retail Park, Cork, Cork, T23 CDV7",51.9171325,-8.4715547
aldi,Cork,Cork,"Elysian, Eglinton Street, Cork, Cork, T12 KTD1",51.8961054,-8.463128
aldi,Cork,Cork,"Mayfield Business Park, Cork, Cork, T23 TY09",51.9145681,-8.428053
