name,address,area
Centric Health - Carlow,"The Primary Care Centre, The Atrium Shamrock Plaza, Carlow Town, Carlow, R93 XR20",Carlow
Clayton Medical Group,"Clayton Hall Medical Centre, Staplestown Road, Carlow Town, Carlow, R93 N8W2",Carlow
Crow Street Medical Centre,"Lower Main Street, Borris, Carlow, R95 F1WP",Carlow
Dolmen Family Medical Practice,"Shamrock Plaza, Green Lane, Carlow Town, Carlow, R93 YF70",Carlow
Dr Byrne Surgery,"Cloughgrace, Cournellan, Borris, Carlow, R95 W8P6",Carlow
Dr John Allan,"Ballysallagh Cottage, Ballysallagh Lower, Hacketstown , Carlow, R93 A022",Carlow
Dr Regina O'Kelly,"Flemington House, 1 Brown Street, Carlow Town, Carlow, R93 W0D1",Carlow
Family Medical Centre,"Tullow Family Medical Centre, Market Square, Tullow, Carlow, R93 WK74",Carlow
Gallagher Medical Practice,"35c Dublin Street, Carlow Town, Carlow, R93 H9D0",Carlow
Gallagher Medical Practice,"Main Street, Hacketstown, Carlow, R93 CK25",Carlow
Gallagher Medical Practice,"Rathvilly Health Centre, Rathvilly, Carlow, R93 W6W8",Carlow
Leighlinbridge Health Centre,"Pump Lane, Leighlinbridge, Carlow, R93 D5F2",Carlow
MB Medical,"Bachelors Walk, Muine Bheag, Carlow, R21 EH57",Carlow
Mill Street Medical Centre,"Mill Street, Tullow, Carlow, R93 N284",Carlow
Myshall GP,"Myshall Health Centre, Myshall, Carlow, R21 CA33",Carlow
The Oaks Family Practice,"65 Tullow Street, Carlow Town, Carlow, R93 N8F7",Carlow
Tullow Health Centre,"Shillelagh Road, Tullow, Carlow, R93 H0C1",Carlow
Acorn Medical Practice,"Unit 4, Clonmahon Place, Ballinagh, Cavan, H12 K7Y5",Cavan
Arva Medical Centre,"Broad Road, Arva, Cavan, H12 TW26",Cavan
Atlantic Medical,"16 College Street, Cavan Town, Cavan, H12 F439",Cavan
Ballyconnell Medical,"Preaching House Lane, Ballyconnell, Cavan, H14 CD52",Cavan
Belturbet Medical Practice,"Deanery Street, Belturbet, Cavan, H14 PD30",Cavan
Cavan Medical Practice,"113 College Street, Cavan Town, Cavan, H12 A9P2",Cavan
Collins Medical Practice,"Drumalee Primary Care Centre, Loughtee Business Park Cootehill Road, Cavan Town, Cavan, H12 NV22",Cavan
Cootehill Medical Centre,"4 Cavan Road, Cootehill, Cavan, H16 AH30",Cavan
Dr Nigel McKenna,"Drumalee Primary Care Centre, Loughtee Business Park, Cootehill, Cavan, H12 NV22",Cavan
Drumalee Cross Family Practice,"Drumalee Cross, Drumalee, Cavan, H12 K7E5",Cavan
Drumalee Primary Care Centre,"Loughtee Business Park, Cootehill Road, Drumalee, Cavan, H12 NV22",Cavan
Elm House Surgery,"Loughtee Business Park, Cootehill Road, Cavan, H12 V443",Cavan
Family Practice Centre,"Granard Road, Ballyjamesduff, Cavan, A82 X2Y3",Cavan
