name,address,area,lat,lng
Centric Health - Carlow,"The Primary Care Centre, The Atrium Shamrock Plaza, Carlow Town, Carlow, R93 XR20",Carlow,52.8365106,-6.9244226
Clayton Medical Group,"Clayton Hall Medical Centre, Staplestown Road, Carlow Town, Carlow, R93 N8W2",Carlow,52.8353748,-6.917054800000001
Crow Street Medical Centre,"Lower Main Street, Borris, Carlow, R95 F1WP",Carlow,52.5405393,-6.9554423
Dolmen Family Medical Practice,"Shamrock Plaza, Green Lane, Carlow Town, Carlow, R93 YF70",Carlow,52.8365106,-6.9244226
Dr Byrne Surgery,"Cloughgrace, Cournellan, Borris, Carlow, R95 W8P6",Carlow,52.57486660000001,-6.915618299999999
Dr John Allan,"Ballysallagh Cottage, Ballysallagh Lower, Hacketstown , Carlow, R93 A022",Carlow,52.858968,-6.5355288
Dr Regina O'Kelly,"Flemington House, 1 Brown Street, Carlow Town, Carlow, R93 W0D1",Carlow,52.837481,-6.929389199999999
Family Medical Centre,"Tullow Family Medical Centre, Market Square, Tullow, Carlow, R93 WK74",Carlow,52.803121,-6.736156599999999
Gallagher Medical Practice,"35c Dublin Street, Carlow Town, Carlow, R93 H9D0",Carlow,52.8383385,-6.9310643
Gallagher Medical Practice,"Main Street, Hacketstown, Carlow, R93 CK25",Carlow,52.865243,-6.558178700000001
Gallagher Medical Practice,"Rathvilly Health Centre, Rathvilly, Carlow, R93 W6W8",Carlow,52.87986720000001,-6.6906747
Leighlinbridge Health Centre,"Pump Lane, Leighlinbridge, Carlow, R93 D5F2",Carlow,52.7357512,-6.9801568
MB Medical,"Bachelors Walk, Muine Bheag, Carlow, R21 EH57",Carlow,52.7032976,-6.9605154
Mill Street Medical Centre,"Mill Street, Tullow, Carlow, R93 N284",Carlow,52.800231,-6.7340741
Myshall GP,"Myshall Health Centre, Myshall, Carlow, R21 CA33",Carlow,52.6871881,-6.781879
The Oaks Family Practice,"65 Tullow Street, Carlow Town, Carlow, R93 N8F7",Carlow,52.835972,-6.925887599999999
Tullow Health Centre,"Shillelagh Road, Tullow, Carlow, R93 H0C1",Carlow,52.8018577,-6.7105516
Acorn Medical Practice,"Unit 4, Clonmahon Place, Ballinagh, Cavan, H12 K7Y5",Cavan,53.9330668,-7.4077679
Arva Medical Centre,"Broad Road, Arva, Cavan, H12 TW26",Cavan,53.9229283,-7.5831641
Atlantic Medical,"16 College Street, Cavan Town, Cavan, H12 F439",Cavan,53.9889547,-7.3627863
Ballyconnell Medical,"Preaching House Lane, Ballyconnell, Cavan, H14 CD52",Cavan,54.1186198,-7.5843979
Belturbet Medical Practice,"Deanery Street, Belturbet, Cavan, H14 PD30",Cavan,54.1019034,-7.4398387
Cavan Medical Practice,"113 College Street, Cavan Town, Cavan, H12 A9P2",Cavan,53.988187,-7.362104599999999
Collins Medical Practice,"Drumalee Primary Care Centre, Loughtee Business Park Cootehill Road, Cavan Town, Cavan, H12 NV22",Cavan,54.0012678,-7.355255799999999
Cootehill Medical Centre,"4 Cavan Road, Cootehill, Cavan, H16 AH30",Cavan,54.0725774,-7.083728499999999
Dr Nigel McKenna,"Drumalee Primary Care Centre, Loughtee Business Park, Cootehill, Cavan, H12 NV22",Cavan,54.0012678,-7.355255799999999
Drumalee Cross Family Practice,"Drumalee Cross, Drumalee, Cavan, H12 K7E5",Cavan,54.0009214,-7.351771999999999
Drumalee Primary Care Centre,"Loughtee Business Park, Cootehill Road, Drumalee, Cavan, H12 NV22",Cavan,54.0012804,-7.3543978
Elm House Surgery,"Loughtee Business Park, Cootehill Road, Cavan, H12 V443",Cavan,54.0012804,-7.3543978
Family Practice Centre,"Granard Road, Ballyjamesduff, Cavan, A82 X2Y3",Cavan,53.8610232,-7.2116357
Farnham Medical Practice,"Primary Care Building, Connolly St, Cavan Town, Cavan, H12 C3W6",Cavan,53.9881492,-7.3606596
Killeshandra Health Centre,"Killeshandra Health Centre, Railway Road, Killeshandra, Cavan, H12 X299",Cavan,54.0135853,-7.5288657
Kingscourt Surgery,"Kells Road, Kingscourt, Cavan, A82 R2V8",Cavan,53.8993845,-6.8155878
Lisnalea Medical Centre,"Lisnalea, Bailieborough, Cavan, A82 PT80",Cavan,53.9132063,-6.9771594
Swanlinbar Health Centre,"Creamery Road, Swanlinbar, Cavan, H14 HC58",Cavan,54.1901319,-7.7023733
The Cottage Surgery,"New Road, Bailieborough, Cavan, A82 D2X0",Cavan,53.9166065,-6.9732505
The Darley Health Centre,"Fairgreen, Cootehill, Cavan, H16 EN24",Cavan,54.0752645,-7.083630299999999
Virginia Medical Practice,"Dublin Road, Virginia, Cavan, A82 AH29",Cavan,53.83162919999999,-7.067628200000001
Ardlea Medical Practice,"79 Upper O'Connell Street, Ennis, Clare, V95 PD2N",Clare,52.8427332,-8.9830701
Ballyvaughan Medical Centre,"Ballyvaughan Enterprise Centre, Ballyvaughan, Clare, H91 W8WH",Clare,53.1141003,-9.150108
