store,address,lat,lng
lidl,"Baldoyle, Grange Road",53.3978831,-6.1500057
lidl,"Portmarnock, Strand Road",53.4211,-6.1385
lidl,"Coolock, Coolock Retail Park",53.3959325,-6.1901293
lidl,"Dublin Clonshaugh Road, Clonshaugh Road",53.3981225,-6.2156539
lidl,"Artane, Artane Place",53.3851017,-6.213560999999999
lidl,"Santry Omni, Santry Omni Centre",53.3928317,-6.2484477
lidl,"East Wall, East Wall Road",53.3562245,-6.233409399999999
lidl,"Gullivers Retail Park, Unit C2- 3 Gullivers Retail Park",53.40546,-6.26132
lidl,"Drumcondra, Drumcondra Road Upper",53.3723745,-6.253061
lidl,"Swords Dublin Road, Dublin Road Miltonsfields",53.4512752,-6.2273257
lidl,"Ballymun, Balcurris Road",53.3988469,-6.2651879
lidl,"Swords Rathbeale Road, Rathbeale Road",53.46154000000001,-6.22892
lidl,"Dublin Talbot St, Talbot St",53.3503318,-6.2564455
lidl,"Moore Street, Parnell/Moore Street",53.35133,-6.26329
lidl,"Glasnevin, Slaney Road",53.3729,-6.285629999999999
lidl,"Dublin Aungier Street, 71 Aungier Street",53.34083,-6.26584
lidl,"Grangegorman, Grangegorman",53.3567836,-6.279264599999999
lidl,"Finglas, St Margaret's Road",53.39744,-6.304389
lidl,"Cabra, Old Cabra Road",53.35816879999999,-6.288798099999999
lidl,"Thomas Street, Thomas Street Dublin 8",53.3432239,-6.2802602
lidl,"Ranelagh, Ranelagh Road",53.32536,-6.25448
lidl,"Rathmines, Rathmines Road Dublin 6",53.32583,-6.265359
lidl,"Cork Street, 48-52 Cork Street Dublin 8",53.33668429999999,-6.2870992
lidl,"Stillorgan, Stillorgan Plaza Stillorgan",53.2884798,-6.1984868
lidl,"Glenageary, Sallynoggin Road",53.2769164,-6.1422786
lidl,"Terenure, 18 Rathfarnham Road Dubin 6W",53.30944059999999,-6.282875499999999
lidl,"Deansgrange, Clonkeen Road / Kill Lane",53.27769230000001,-6.1640576
lidl,"Pottery Road, Pottery Road",53.275536,-6.156912999999999
lidl,"Dundrum, Main Street Dundrum",53.29069459999999,-6.2455691
lidl,"Lusk- Station Road, Station Road",53.52632639999999,-6.1658841
lidl,"Nutgrove, Nutgrove Avenue",53.2920154,-6.2699955
lidl,"Castleknock, Castleknock Road",53.37329,-6.36208
lidl,"Walkinstown, Walkinstown Avenue Dublin 12",53.32201550000001,-6.34029
