station,grid,address,lat,lng
Abbey Street, D3,"Middle Abbey St, North City, Dublin, Ireland",53.3481515,-6.2616765
Adamstown, B3,"Dublin, Ireland",53.3498053,-6.2603097
Arklow, F5,"Arklow St, Stoneybatter, Dublin, Ireland",53.3542542,-6.2931734
Ashtown, C2,"Ashtown Station, Ashtown Rd, Ashtown, Dublin 15, Ireland",53.3752958,-6.3322531
Athlone, A3,"Athlone, Co. Westmeath, Ireland",53.4239331,-7.940689799999999
Athy, A4,"Athy, Co. Kildare, Ireland",52.9918336,-6.985728
Balally, C4,"Balally, Dublin, Ireland",53.2766137,-6.2315343
Balbriggan, E1,"Dublin, Ireland",53.3498053,-6.2603097
Ballsbridge, D4,"Ballsbridge, Dublin, Ireland",53.3288697,-6.2305235
Ballyogan Wood, D5,"Ballyogan Wood, Ballyogan, Dublin, Ireland",53.2554436,-6.1857125
Bayside, F2,"Dublin, Ireland",53.3498053,-6.2603097
Beechwood, C4,"Dublin, Ireland",53.3498053,-6.2603097
Belgard, B4,"Belgard, Dublin, Ireland",53.3020386,-6.390136
Blackhorse, B4,"Dublin, Ireland",53.3498053,-6.2603097
Blackrock, E4,"Blackrock Station, stop 3085, Blackrock, Dublin, Co. Dublin, Ireland",53.3024745,-6.1783801
Bluebell, B4,"Bluebell, Dublin, Ireland",53.3283374,-6.3540516
Booterstown, E4,"Booterstown Station, stop 472, Intake, Dublin, Co. Dublin, Ireland",53.3078925,-6.194914199999999
Bray, F5,"Bray, Co. Wicklow, Ireland",53.2006993,-6.110931900000001
Bride's Glen, E5,"Dublin, Ireland",53.3498053,-6.2603097
Broadstone - DIT, C2,"Broadstone - DIT, Dublin, Co. Dublin, Ireland",53.3540764,-6.2735363
Broombridge, D2,"Broombridge, 7 Broombridge Rd, Cabra West, Dublin, D07 N4X0, Ireland",53.3726713,-6.2993234
Busáras, D3,"Busáras Central Bus Station, 22 Store St, North Wall, Dublin 1, D01 RW68, Ireland",53.34962609999999,-6.2518565
Cabra, C2,"Cabra Dr, Cabra East, Dublin, Ireland",53.3596493,-6.2909525
Carlow, A4,"Carlow, Ireland",52.8359963,-6.924607399999999
Carrickmines, D5,"Carrickmines Station, Ballyogan Rd, Jamestown, Dublin 18, Ireland",53.2564991,-6.1951424
Castleknock, C2,"Caisleán Cnucha/Castleknock, Blanchardstown, Dublin, Co. Dublin, Ireland",53.381626,-6.371422
Central Park, C5,"Dublin, Ireland",53.3498053,-6.2603097
Charlemont, C4,"Charlemont, Grace Park, Dublin, Ireland",53.3753493,-6.2315685
Charlotte Way, C3,"Charlotte Way, Saint Kevin's, Dublin, Ireland",53.3336813,-6.2642446
Cheeverstown, B5,"Cheeverstown, Dublin, Ireland",53.29700159999999,-6.4083046
Cherrywood, D5,"Cherrywood, Loughlinstown, Dublin, Ireland",53.2481047,-6.13431
Citywest Campus, B5,"Citywest Business Campus, Dublin, Ireland",53.2917822,-6.4232306
Clara, A3,"Dublin, Ireland",53.3498053,-6.2603097
Clondalkin Fonthill, B3,"Clondalkin Fonthill, Cappagh, Dublin, Ireland",53.333435,-6.406261
Clongriffin, E2,"Clongriffin Station, Donaghmede, Dublin, Co. Dublin, Ireland",53.40284219999999,-6.151450199999999
Clonsilla, B2,"Clonsilla Station, stop 1912, Clonsilla, Dublin, Co. Dublin, Ireland",53.3836707,-6.4205339
Clontarf Road, E2,"Clontarf Rd, Dublin, Ireland",53.3601595,-6.2024344
College Green, C3,"College Green, Dublin, Ireland",53.3444276,-6.2608594
Connolly, D3,"Connolly, 1 Amiens St, North Wall, Dublin, Ireland",53.3515264,-6.2496782
Cookstown, B4,"Cookstown, Dublin, Ireland",53.2972501,-6.3784673
Coolmine, C2,"Coolmine, Carpenterstown, Dublin, Co. Dublin, Ireland",53.37751249999999,-6.3914962
Cowper, C4,"Cowper Downs, Rathmines, Dublin, Ireland",53.3162305,-6.2623838
Dalkey, F4,"Dalkey, Co. Dublin, Ireland",53.2779106,-6.1058436
Dawson, C3,"Dublin, Ireland",53.3498053,-6.2603097
Docklands, E3,"Docklands Station, Sheriff Street Upper, North Wall, Dublin 1, Ireland",53.3506788,-6.2393896
Dominick, C2,"Dublin, Ireland",53.3498053,-6.2603097
Donabate, E2,"Donabate, Co. Dublin, Ireland",53.4853365,-6.1504482
Donnybrook, D4,"Donnybrook, Dublin, Ireland",53.322876,-6.238141499999999
Drimnagh, B4,"Drimnagh, Dublin, Ireland",53.3293084,-6.310314
Drogheda, E1,"Drogheda, Co. Louth, Ireland",53.717856,-6.3560985
Drumcondra, E2,"Drumcondra Station, Drumcondra Rd Lower, Drumcondra, Dublin 9, Ireland",53.3631239,-6.2585086
