school_name,publish_date,last_update_date,address,website,google_map,roll_number,local_name_of_school,school_Level,school_Level_Detail,principal_name,ethos,gender,language_of_Instruction,DEIS_indicator,transition_year_indicator,enrolment_total,enrolment_boys,enrolment_girls,free_education_indicator,fee_charging_indicator,day_boarding,inspection_reports
ABBEYSTREWRY N S,2021-07-07,2024-01-22,"CASTLETOWNSEND ROAD SKIBBEREEN CO. CORK , CORK , CORK , P81X386",,"https://maps.google.com/?q=51.54095,-9.261173",14433K,ABBEYSTREWRY NATIONAL SCHOOL,PRIMARY,ORDINARY,JEAN FULLER,CHURCH OF IRELAND,MIXED,ENGLISH,NO,NA,134,50,84,NA,NO,NA,
ABBEY VOCATIONAL SCHOOL,2021-07-07,2024-01-22,"THE GLEBE DONEGAL TOWN CO.DONEGAL , DONEGAL , DONEGAL , F94A409",http://www.avsdonegal.com,"https://maps.google.com/?q=54.648582,-8.11251",71180F,ABBEY VOCATIONAL SCHOOL,POST PRIMARY,VOCATIONAL,GERALDINE DIVER,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,947,512,435,YES,NO,NA,
ACHADH NA SILEANN,2021-07-07,2024-01-22,"AUGHNASHEELIN BALLINAMORE CO. LEITRIM , LEITRIM , LEITRIM , N41NX92",http://www.stmarysnsaughnasheelin.ie,"https://maps.google.com/?q=54.068134,-7.8643274",19365V,ST MARY'S NS AUGHNASHEELIN,PRIMARY,ORDINARY,JEROME QUINN,CATHOLIC,MIXED,ENGLISH,YES,NA,51,32,19,NA,NO,NA,
ACHILL SOUND CONVENT NS,2021-07-07,2024-01-22,"THE POINTS ACHILL SOUND, ACHILL WESTPORT, , MAYO , MAYO , F28ER26",http://achillsoundns.ie,"https://maps.google.com/?q=53.92887,-9.928586",14863M,ACHILL SOUND CONVENT NS,PRIMARY,ORDINARY,LAURA EDEL MCGINTY,CATHOLIC,MIXED,IRISH AND ENGLISH,YES,NA,14,8,6,NA,NO,NA,
ADAMSTOWN CASTLE EDUCATE TOGETHER NATIONAL SCHOOL,2021-07-07,2024-01-22,"STATION ROAD ADAMSTOWN CO. DUBLIN , DUBLIN , DUBLIN COUNTY , K78KT91",http://www.acetns.ie,"https://maps.google.com/?q=53.336254,-6.45998",20268H,ACETNS,PRIMARY,ORDINARY,THOMAS MORIARTY,MULTI DENOMINATIONAL,MIXED,ENGLISH,NO,NA,439,230,209,NA,NO,NA,
ADAMSTOWN COMMUNITY COLLEGE,2021-07-07,2024-01-22,"STATION RD ADAMSTOWN LUCAN CO. DUBLIN , DUBLIN , DUBLIN COUNTY , K78WP89",http://www.adamstowncc.ie,"https://maps.google.com/?q=53.336235,-6.462283",76097U,ADAMSTOWN COMMUNITY COLLEGE,POST PRIMARY,VOCATIONAL,MR DAVE ANDERSON,MULTI DENOMINATIONAL,MIXED,NO SUBJECTS TAUGHT THROUGH IRISH,NO,YES,954,533,421,YES,NO,NA,
ADRIGOLE N S,2021-07-07,2024-01-22,"ADRIGOLE BANTRY CO. CORK , CORK , CORK , P75EC64",,"https://maps.google.com/?q=51.695656,-9.720692",16885J,ADRIGOLE NATIONAL SCHOOL,PRIMARY,ORDINARY,PADRAIG Ó CLUMHÁIN,CATHOLIC,MIXED,ENGLISH,NO,NA,20,8,12,NA,NO,NA,
AGHACASLA N S,2021-07-07,2024-01-22,"AUGHACASLA SOUTH CAMP TRALEE , KERRY , KERRY , V92Y312",http://aughacaslans.com/,"https://maps.google.com/?q=52.23416,-9.97462",14767Q,AUGHACASLA NATIONAL SCHOOL,PRIMARY,ORDINARY,DAVID DOYLE,CATHOLIC,MIXED,ENGLISH,NO,NA,100,48,52,NA,NO,NA,
AGHARDS N S,2021-07-07,2024-01-22,"SCOIL MOCHUA AGHARDS ROAD CELBRIDGE CO. KILDARE , KILDARE , KILDARE , W23YY00",http://www.scoilmochua.com,"https://maps.google.com/?q=53.348797,-6.5494037",19794V,SCOIL MOCHUA - AGHARDS,PRIMARY,ORDINARY,CATHERINE CARRAGHER,CATHOLIC,MIXED,ENGLISH,NO,NA,656,322,334,NA,NO,NA,
AGHATUBRID N S,2021-07-07,2024-01-22,"DIREEN CAHERCIVEEN CO. KERRY , KERRY , KERRY , V23KC04",,"https://maps.google.com/?q=51.89145,-10.228129",09878V,AGHATUBRID NATIONAL SCHOOL,PRIMARY,ORDINARY,SINEAD CLIFFORD O'SULLIVAN,CATHOLIC,MIXED,ENGLISH,NO,NA,50,27,23,NA,NO,NA,
