store,area,address,lat,lng
tesco,Abbeyfeale,Abbeyfeale Superstore Colbert Terrace,52.3871372,-9.2987105
tesco,Adamstown,Adamstown,53.3366541,-6.4690882
tesco,Arklow,Arklow Extra Wexford Road,52.79445370000001,-6.1605892
tesco,Ashbourne,Ashbourne Superstore Frederick Street,53.510689,-6.3987976
tesco,Athenry,Athenry,53.29352840000001,-8.7503352
tesco,Athlone,Golden Island Superstore Golden Island Shopping Centre,53.4199302,-7.9316754
tesco,Athlone,Athlone Baylough Express The Shine Centre,53.4199302,-7.9316754
tesco,Bailieborough,Bailieborough Superstore Thomas Street,53.9182502,-6.968836
tesco,Ballina,Ballina Superstore Market Square,54.1155886,-9.1550473
tesco,Ballinamore,Ballinamore Superstore Inner Relief Road,54.0517335,-7.798147900000001
tesco,Ballinasloe,Ballinasloe Superstore Dunlo Town Centre,53.32314050000001,-8.225595
tesco,Ballinrobe,Ballinrobe Superstore Claremorris Road,53.6272855,-9.2170921
tesco,Ballybane,Ballybane,53.2856737,-9.011936
tesco,Ballybeg,Ballybeg Superstore Kilbarry Road,52.2418347,-7.1336094
tesco,Bettystown,Bettystown Superstore Narrow Ways,53.6968231,-6.2474479
tesco,Birr,Birr Superstore Railway Road,53.0901066,-7.909369399999999
tesco,Blanchardstown,Mountview,53.3903171,-6.4017319
tesco,Bray,Bray Superstore Bray Centre,53.2050239,-6.1060285
tesco,CO. Dublin,Sandymount Metro 80 Sandymount Road,53.33322339999999,-6.2161141
tesco,CO. Dublin,College Green Express College Green,53.3441575,-6.2617496
tesco,Carlow,Carlow Square Superstore Fairgreen Shopping Centre,52.8346606,-6.9229501
tesco,Carrick On Shannon,Carrick On Shannon Superstore Old Dublin Road,53.9448739,-8.0800684
tesco,Cashel,Cashel Superstore Moloughney,52.5104234,-7.890640400000001
tesco,Castlebar,Castlebar Superstore Market Square,53.85645,-9.2987809
tesco,Castlepollard,Castlepollard Express Castlepollard Shopping Centre,53.6795994,-7.293204500000001
tesco,Cavan,Cavan Superstore 20 Pearse Street,53.9906831,-7.359353499999999
tesco,Celbridge,Celbridge Superstore Maynooth Road,53.3491207,-6.5431954
tesco,Celbridge,Hazelhatch Rd Express Unit A1 Village Centre,53.3285156,-6.5294441
tesco,Clane,Clane Metro Dublin Road,53.293785,-6.6870404
tesco,Clare,Shannon Banks Express Ardnacrusha Road,52.6831951,-8.6083734
tesco,Claremorris,Claremorris Superstore Knock Road,53.7250498,-8.9987016
tesco,Clonmel,Clonmel Extra Powerstown Centre,52.3617958,-7.691591700000001
tesco,Cork,Counting House Express,51.8985143,-8.4756035
tesco,Cork,Ballincollig Superstore Ballincollig Shopping Centre,51.8883661,-8.5958273
